piratesofersatz_01_leinster_64kb_f000001|The pirates of ersatz by Murray Leinster. Chapter 1.|The pirates of ersatz by Murray Leinster. Chapter one.
piratesofersatz_04_leinster_64kb_f000015|The ecological system had worked itself out strictly by hit-or-miss, but the result was not unfamiliar. Save for the star-pattern overhead, Hoddan could have believed himself on some parts of Zan,|The ecological system had worked itself out strictly by hit-or-miss, but the result was not unfamiliar. Save for the star-pattern overhead, Hoddan could have believed himself on some parts of Zan,
piratesofersatz_04_leinster_64kb_f000016|or some parts of Walden, or very probably somewhere or other on Lohala or Kent or Famagusta or any other occupied world between the Rims.|or some parts of Walden, or very probably somewhere or other on Lohala or Kent or Famagusta or any other occupied world between the Rims.
piratesofersatz_04_leinster_64kb_f000017|There was, though, the star-pattern. Hoddan tried to organize it in his mind. He knew where the sun had set, which would be west.|There was, though, the star-pattern. Hoddan tried to organize it in his mind. He knew where the sun had set, which would be west.
piratesofersatz_04_leinster_64kb_f000018|He asked the latitude of the Darthian spaceport. Thal did not know it. He asked about major geographical features — seas and continents and so on. Thal had no ideas on the subject.|He asked the latitude of the Darthian spaceport. Thal did not know it. He asked about major geographical features - seas and continents and so on. Thal had no ideas on the subject.
piratesofersatz_04_leinster_64kb_f000019|Hoddan fumed. He hadn't worried about such things on Walden. Of course, on Walden he'd had one friend, Derec, and believed he had a sweetheart, Nedda.|Hoddan fumed. He hadn't worried about such things on Walden. Of course, on Walden he'd had one friend, Derec, and believed he had a sweetheart, Nedda.
piratesofersatz_04_leinster_64kb_f000020|There he was lonely and schemed to acquire the admiration of others. He ignored the sky.|There he was lonely and schemed to acquire the admiration of others. He ignored the sky.
piratesofersatz_04_leinster_64kb_f000021|Here on Darth he had no friends, but there were a number of local citizens now doubtless recovered from stun-pistol bolts and yearning to carve him up with large knives.|Here on Darth he had no friends, but there were a number of local citizens now doubtless recovered from stun-pistol bolts and yearning to carve him up with large knives.
piratesofersatz_04_leinster_64kb_f000022|He did not feel lonely, but the instinct to know where he was, was again in operation.|He did not feel lonely, but the instinct to know where he was, was again in operation.
piratesofersatz_04_leinster_64kb_f000023|The ground was rocky and far from level. After two hours of riding on a small and wiry horse with no built-in springs, Hoddan hurt in a great many places he'd never known he owned.|The ground was rocky and far from level. After two hours of riding on a small and wiry horse with no built-in springs, Hoddan hurt in a great many places he'd never known he owned.
piratesofersatz_04_leinster_64kb_f000024|He and Thal rode in an indeterminate direction with an irregular scarp of low mountains silhouetted against the unfamiliar stars.|He and Thal rode in an indeterminate direction with an irregular scarp of low mountains silhouetted against the unfamiliar stars.
piratesofersatz_04_leinster_64kb_f000025|A vagrant night-wind blew. Thal had said it was a three-hour ride to Don Loris' castle. After something over two of them, he said meditatively:|A vagrant night-wind blew. Thal had said it was a three-hour ride to Don Loris' castle. After something over two of them, he said meditatively:
piratesofersatz_04_leinster_64kb_f000026|I think that if you wish to give me a present I will take it and not make a gift in return. You could give me, he added helpfully, your share of the plunder from our victims.|I think that if you wish to give me a present I will take it and not make a gift in return. You could give me, he added helpfully, your share of the plunder from our victims.
piratesofersatz_04_leinster_64kb_f000027|Why? demanded Hoddan. Why should I give you a present?|Why? demanded Hoddan. Why should I give you a present?
piratesofersatz_04_leinster_64kb_f000028|If I accepted it, explained Thal, and made no gift in return, I would become your retainer. Then it would be my obligation as a Darthian gentleman to ride beside you,|If I accepted it, explained Thal, and made no gift in return, I would become your retainer. Then it would be my obligation as a Darthian gentleman to ride beside you,
piratesofersatz_04_leinster_64kb_f000029|advise, counsel, and fight in your defense, and generally to uphold your dignity.|advise, counsel, and fight in your defense, and generally to uphold your dignity.
piratesofersatz_04_leinster_64kb_f000030|Hoddan suspected himself of blisters in places that had no dignity about them. He said suspiciously:|Hoddan suspected himself of blisters in places that had no dignity about them. He said suspiciously:
piratesofersatz_04_leinster_64kb_f000031|How about Don Loris? Aren't you his retainer?|How about Don Loris? Aren't you his retainer?
piratesofersatz_04_leinster_64kb_f000032|Between the two of us, said Thal, he's stingy. His presents are not as lavish as they could be. I can make him a return-present of part of the money we won in combat.|Between the two of us, said Thal, he's stingy. His presents are not as lavish as they could be. I can make him a return-present of part of the money we won in combat.
piratesofersatz_04_leinster_64kb_f000033|That frees me of duty to him. Then I could accept the balance of the money from you, and become a retainer of yours.|That frees me of duty to him. Then I could accept the balance of the money from you, and become a retainer of yours.
piratesofersatz_04_leinster_64kb_f000034|Oh, said Hoddan.|Oh, said Hoddan.
piratesofersatz_04_leinster_64kb_f000035|You need a retainer badly, said Thal. You do not know the customs here. For example, there is enmity between Don Loris and the young Lord Ghek.|You need a retainer badly, said Thal. You do not know the customs here. For example, there is enmity between Don Loris and the young Lord Ghek.
piratesofersatz_04_leinster_64kb_f000036|If the young Lord Ghek is as enterprising as he should be, some of his retainers should be lying in wait to cut our throats as we approach Don Loris' stronghold.|If the young Lord Ghek is as enterprising as he should be, some of his retainers should be lying in wait to cut our throats as we approach Don Loris' stronghold.
piratesofersatz_04_leinster_64kb_f000037|Hm-m-m, said Hoddan grimly. But Thal seemed undisturbed. This system of gifts and presents sounds complicated. Why doesn't Don Loris simply give you so much a year, or week, or whatnot?|Hm-m-m, said Hoddan grimly. But Thal seemed undisturbed. This system of gifts and presents sounds complicated. Why doesn't Don Loris simply give you so much a year, or week, or whatnot?
piratesofersatz_04_leinster_64kb_f000038|Thal made a shocked sound.|Thal made a shocked sound.
piratesofersatz_04_leinster_64kb_f000039|That would be pay! A Darthian gentleman does not serve for pay! To offer it would be insult! Then he said, Listen!|That would be pay! A Darthian gentleman does not serve for pay! To offer it would be insult! Then he said, Listen!
piratesofersatz_04_leinster_64kb_f000040|He reined in. Hoddan clumsily followed his example. After a moment or two Thal clucked to his horse and started off again.|He reined in. Hoddan clumsily followed his example. After a moment or two Thal clucked to his horse and started off again.
piratesofersatz_04_leinster_64kb_f000041|It was nothing, he said regretfully. I hoped we were riding into an ambush.|It was nothing, he said regretfully. I hoped we were riding into an ambush.
piratesofersatz_04_leinster_64kb_f000042|Hoddan grunted. It could be that he was being told a tall tale. But back at the spaceport, the men who came after him waving large knives had seemed sincere enough.|Hoddan grunted. It could be that he was being told a tall tale. But back at the spaceport, the men who came after him waving large knives had seemed sincere enough.
