hunters_space_01_f000001|HUNTERS OUT OF SPACE By JOSEPH E KELLEAM.|HUNTERS OUT OF SPACE By JOSEPH E KELLEAM.
hunters_space_06_f000058|The tunnel had been cleared for two lanes of trucks and tractors.|The tunnel had been cleared for two lanes of trucks and tractors.
hunters_space_06_f000059|Steadily the line of laden cars moved down to the ship and steadily another line came back for more supplies.|Steadily the line of laden cars moved down to the ship and steadily another line came back for more supplies.
hunters_space_06_f000060|Odin was assigned to superintend one of the warehouses, and he was both annoyed and pleased to find that the girl Nea was his assistant.|Odin was assigned to superintend one of the warehouses, and he was both annoyed and pleased to find that the girl Nea was his assistant.
hunters_space_06_f000061|She was a hard worker and pleasant enough, though she said little to him. And the only time he saw her flustered was when she ordered a young man of the Brons out of the building.|She was a hard worker and pleasant enough, though she said little to him. And the only time he saw her flustered was when she ordered a young man of the Brons out of the building.
hunters_space_06_f000062|Jack felt a bit sorry for the fellow. He was scarcely out of his teens and was all shook up because Nea was going out there into space instead of staying here in Opal with him.|Jack felt a bit sorry for the fellow. He was scarcely out of his teens and was all shook up because Nea was going out there into space instead of staying here in Opal with him.
hunters_space_06_f000063|So the work went on at a furious pace, and before he realized that three days had gone he was back at the improvised docks with Gunnar and his family.|So the work went on at a furious pace, and before he realized that three days had gone he was back at the improvised docks with Gunnar and his family.
hunters_space_06_f000064|The parting was a quiet one. Gunnar told the boys to mind their mother and not stay out late at night. Get strong muscles on your legs and shoulders, he told them.|The parting was a quiet one. Gunnar told the boys to mind their mother and not stay out late at night. Get strong muscles on your legs and shoulders, he told them.
hunters_space_06_f000065|A man is not too good at thinking, and he never knows what will happen next. The muscles will keep him going, and after the muscles are gone a fighting heart will carry him a little farther.|A man is not too good at thinking, and he never knows what will happen next. The muscles will keep him going, and after the muscles are gone a fighting heart will carry him a little farther.
hunters_space_06_f000066|No tears were shed. They talked of little things, and laughed at old jokes that Gunnar's grandfather had told them. One of those family jokes that never seem very funny to an outsider.|No tears were shed. They talked of little things, and laughed at old jokes that Gunnar's grandfather had told them. One of those family jokes that never seem very funny to an outsider.
hunters_space_06_f000067|After that, Freida worked the conversation around to the voyage that Gunnar would soon be making.|After that, Freida worked the conversation around to the voyage that Gunnar would soon be making.
hunters_space_06_f000068|They say it is cold out there, she ventured cautiously.|They say it is cold out there, she ventured cautiously.
hunters_space_06_f000069|Oh, yes. Very cold. Gunnar agreed.|Oh, yes. Very cold. Gunnar agreed.
hunters_space_06_f000070|Then you wrap up good, Gunnar. We wouldn't want you to have a chill.|Then you wrap up good, Gunnar. We wouldn't want you to have a chill.
hunters_space_06_f000071|Gunnar scoffed, I never had a chill in my life.|Gunnar scoffed, I never had a chill in my life.
hunters_space_06_f000072|Oh, such talk. Don't pretend to be so big. I have nursed you through many a chill. Then she produced her parting gift a muffler that would have swathed poor Gunnar from chin to belt.|Oh, such talk. Don't pretend to be so big. I have nursed you through many a chill. Then she produced her parting gift a muffler that would have swathed poor Gunnar from chin to belt.
hunters_space_06_f000073|You promise you wear this if it gets cold, she urged.|You promise you wear this if it gets cold, she urged.
hunters_space_06_f000074|I tell you, mama, I don't need such things. You don't know how tough old Gunnar is.|I tell you, mama, I don't need such things. You don't know how tough old Gunnar is.
hunters_space_06_f000075|Yes, I know. You promise to wear the muffler Gunnar took it as he cast a sheepish look at Odin. All right. All right.|Yes, I know. You promise to wear the muffler Gunnar took it as he cast a sheepish look at Odin. All right. All right.
hunters_space_06_f000076|I'll take it After Freida's boat had disappeared, Gunnar tried to joke about the muffler. But he was a bit proud of it too, and put it around his neck.|I'll take it After Freida's boat had disappeared, Gunnar tried to joke about the muffler. But he was a bit proud of it too, and put it around his neck.
hunters_space_06_f000077|The ends almost brushed the ground, but it was so warm that he soon had to roll it up and carry it with him.|The ends almost brushed the ground, but it was so warm that he soon had to roll it up and carry it with him.
